filename,width,depth,num_add,num_sub,num_mul,num_and,num_or,num_xor,num_assign,num_always,num_case,num_if,num_modules,cell_count,wire_count,delay_estimate
adder_32.v,32,6,1,0,0,0,0,0,1,0,0,0,1,1,284,3.618
adder_4.v,4,3,1,0,0,0,0,0,1,0,0,0,1,1,22,1.594
adder_16.v,16,5,1,0,0,0,0,0,1,0,0,0,1,1,130,2.8099999999999996
adder_8.v,8,4,1,0,0,0,0,0,1,0,0,0,1,1,56,2.162
comparator_8bit.v,8,4,0,0,0,0,0,0,3,0,0,0,1,3,65,2.28
comparator_4bit.v,4,3,0,0,0,0,0,0,3,0,0,0,1,3,33,1.716
comparator_16bit.v,16,5,0,0,0,0,0,0,3,0,0,0,1,3,129,2.908
traffic_light_fsm.v,2,2,0,0,0,0,0,0,0,1,1,1,1,5,15,1.28
vending_machine_fsm.v,2,2,0,0,0,0,0,0,0,1,1,3,1,11,12,1.574
register_16bit.v,16,5,0,0,0,0,0,0,0,1,0,0,1,1,0,2.55
register_32bit.v,32,6,0,0,0,0,0,0,0,1,0,0,1,1,0,3.05
register_8bit.v,8,4,0,0,0,0,0,0,0,1,0,0,1,1,0,2.05
encoder_8to3.v,8,4,0,0,1,0,0,0,0,1,1,0,1,8,63,2.526
priority_encoder_8to3.v,8,4,0,0,1,0,0,0,0,1,0,0,1,15,68,2.886
encoder_4to2.v,4,3,0,0,1,0,0,0,0,1,1,0,1,13,32,2.214
right_shifter_16bit.v,16,5,0,0,0,0,0,0,1,0,0,0,1,0,0,2.5
left_shifter_8bit.v,8,4,0,0,0,0,0,0,1,0,0,0,1,0,0,2.0
left_shifter_16bit.v,16,5,0,0,0,0,0,0,1,0,0,0,1,0,0,2.5
right_shifter_8bit.v,8,4,0,0,0,0,0,0,1,0,0,0,1,0,0,2.0
barrel_shifter_8bit.v,8,4,0,0,0,0,0,0,1,0,0,0,1,1,36,2.122
decoder_3to8.v,8,4,0,0,1,0,0,0,0,1,1,0,1,2,17,2.134
decoder_2to4.v,4,3,0,0,0,0,0,0,1,0,0,0,1,1,8,1.566
decoder_4to16.v,16,5,0,0,1,0,0,0,0,1,1,0,1,2,34,2.668
counters_16bit.v,16,5,1,0,0,0,0,0,0,1,0,1,1,2,54,2.708
counter_8bit.v,8,4,1,0,0,0,0,0,0,1,0,1,1,2,24,2.148
counter_4bit.v,4,3,1,0,0,0,0,0,0,1,0,1,1,2,10,1.62
counters_32bit.v,32,6,1,0,0,0,0,0,0,1,0,1,1,2,116,3.3320000000000003
mux16_1.v,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
mux8_1.v,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
mux4_1.v,4,3,0,0,0,0,0,0,1,0,0,0,1,6,14,1.828
mux2_1.v,2,2,0,0,0,0,0,0,1,0,0,0,1,1,4,1.058
multiplier_16bit.v,32,6,0,0,1,0,0,0,1,0,0,0,1,1,1609,6.268
multiplier_4bit.v,8,4,0,0,1,0,0,0,1,0,0,0,1,1,79,2.2079999999999997
multiplier_8bit.v,16,5,0,0,1,0,0,0,1,0,0,0,1,1,383,3.316
multiplier_32bit.v,64,7,0,0,1,0,0,0,1,0,0,0,1,1,6425,16.4
alu_16bit.v,16,5,1,1,1,1,1,1,0,1,1,0,1,13,482,4.114
alu_8bit.v,8,4,1,1,1,1,1,1,0,1,1,0,1,13,242,3.134
alu_32bit.v,32,6,1,1,1,1,1,1,0,1,1,0,1,13,970,5.59
