filename,width,depth,num_add,num_sub,num_mul,num_and,num_or,num_xor,num_assign,num_always,num_case,num_if,num_modules
adder_32.v,32,6,1,0,0,0,0,0,1,0,0,0,1
adder_4.v,4,3,1,0,0,0,0,0,1,0,0,0,1
adder_16.v,16,5,1,0,0,0,0,0,1,0,0,0,1
adder_8.v,8,4,1,0,0,0,0,0,1,0,0,0,1
comparator_8bit.v,8,4,0,0,0,0,0,0,3,0,0,0,1
comparator_4bit.v,4,3,0,0,0,0,0,0,3,0,0,0,1
comparator_16bit.v,16,5,0,0,0,0,0,0,3,0,0,0,1
traffic_controller_fsm.v,2,2,0,0,0,0,0,0,0,1,1,1,1
traffic_light_fsm.v,2,2,0,0,0,0,0,0,0,1,1,1,1
sequence_detector_fsm.v,2,2,0,0,0,0,0,0,0,1,1,4,1
vending_machine_fsm.v,2,2,0,0,0,0,0,0,0,1,1,3,1
register_16bit.v,16,5,0,0,0,0,0,0,0,1,0,0,1
register_64bit.v,64,7,0,0,0,0,0,0,0,1,0,0,1
register_32bit.v,32,6,0,0,0,0,0,0,0,1,0,0,1
register_8bit.v,8,4,0,0,0,0,0,0,0,1,0,0,1
priority_encoder_16to4.v,16,5,0,0,1,0,0,0,0,1,0,0,1
encoder_8to3.v,8,4,0,0,1,0,0,0,0,1,1,0,1
priority_encoder_8to3.v,8,4,0,0,1,0,0,0,0,1,0,0,1
encoder_4to2.v,4,3,0,0,1,0,0,0,0,1,1,0,1
right_shifter_16bit.v,16,5,0,0,0,0,0,0,1,0,0,0,1
barrel_shifter_32bit.v,32,6,0,0,0,0,0,0,1,0,0,0,1
left_shifter_8bit.v,8,4,0,0,0,0,0,0,1,0,0,0,1
left_shifter_16bit.v,16,5,0,0,0,0,0,0,1,0,0,0,1
right_shifter_8bit.v,8,4,0,0,0,0,0,0,1,0,0,0,1
barrel_shifter_8bit.v,8,4,0,0,0,0,0,0,1,0,0,0,1
barrel_shifter_16bit.v,16,5,0,0,0,0,0,0,1,0,0,0,1
decoder_5to32.v,32,6,0,0,0,0,0,0,1,0,0,0,1
decoder_3to8.v,8,4,0,0,1,0,0,0,0,1,1,0,1
decoder_2to4.v,4,3,0,0,0,0,0,0,1,0,0,0,1
decoder_4to16.v,16,5,0,0,1,0,0,0,0,1,1,0,1
counters_16bit.v,16,5,1,0,0,0,0,0,0,1,0,1,1
counter_8bit.v,8,4,1,0,0,0,0,0,0,1,0,1,1
counter_4bit.v,4,3,1,0,0,0,0,0,0,1,0,1,1
counters_64bit.v,64,7,1,0,0,0,0,0,0,1,0,1,1
counters_32bit.v,32,6,1,0,0,0,0,0,0,1,0,1,1
mux16_1.v,16,5,0,0,0,0,0,0,0,0,0,0,0
mux8_1.v,8,4,0,0,0,0,0,0,0,0,0,0,0
mux4_1.v,4,3,0,0,0,0,0,0,1,0,0,0,1
mux2_1.v,2,2,0,0,0,0,0,0,1,0,0,0,1
multiplier_16bit.v,32,6,0,0,1,0,0,0,1,0,0,0,1
multiplier_4bit.v,8,4,0,0,1,0,0,0,1,0,0,0,1
multiplier_8bit.v,16,5,0,0,1,0,0,0,1,0,0,0,1
multiplier_64bit.v,128,8,0,0,1,0,0,0,1,0,0,0,1
multiplier_32bit.v,64,7,0,0,1,0,0,0,1,0,0,0,1
alu_16bit.v,16,5,1,1,1,1,1,1,0,1,1,0,1
alu_8bit.v,8,4,1,1,1,1,1,1,0,1,1,0,1
alu_32bit.v,32,6,1,1,1,1,1,1,0,1,1,0,1
